uuid	employmentStatus	bankName	total_active_accounts	total_outstanding_balance
8a7cd396-4de6-4ca1-af38-4fcdc731a7e4	FT_EMPLOYED	ABSA	1	17820
a1e1e160-7de6-4e1a-b428-79ea2f765d57	UNEMPLOYED	CAPITEC	1	1486
0110c686-c6a0-4250-8dc5-832256a24f3d	FT_EMPLOYED	ABSA	1	28464
84b111a6-2747-441e-9db9-2d695bea8bab	SELF_EMPLOYED	NEDBANK	1	6723
02fb16d1-1937-4e4e-b01c-624f0930f49f	FT_EMPLOYED	CAPITEC	0	0
3da8c835-1ee2-41df-8d92-60c8f638ea5a	FT_EMPLOYED	ABSA	0	0
979dfe0c-5374-48ee-80eb-7c4ef3143d78	FT_EMPLOYED	STANDARD_BANK	3	984212
ab5a2fe6-f2c9-42a2-91eb-e20f2ca8e789	FT_EMPLOYED	FIRST_NATIONAL_BANK	0	0
04bb70b2-65d8-4b37-af87-507d58025153	FT_EMPLOYED	FIRST_NATIONAL_BANK	0	0
fd4e1337-115e-40a3-8648-1d47acd2fe91	FT_EMPLOYED	FIRST_NATIONAL_BANK	0	0
8915b870-4f5b-4df8-80eb-ae2e25853837	FT_EMPLOYED	STANDARD_BANK	3	1162264
d7188482-6047-4b06-8b4a-df450ef6193e	FT_EMPLOYED	STANDARD_BANK	0	0
b7890398-0a94-489d-b3db-3f9fb0b205e1	PT_EMPLOYED	CAPITEC	0	0
6f5d9bbd-b744-49bf-9e6d-76375e9b7d2c	UNEMPLOYED	FIRST_NATIONAL_BANK	1	12263
e7c20761-8cb4-47f7-80be-34e3f94c569f	FT_EMPLOYED	STANDARD_BANK	2	156256
4db76b39-e949-472b-a653-dbd80ffc0eac	FT_EMPLOYED	FIRST_NATIONAL_BANK	1	0
94653263-3ba4-4bdb-bc9a-8e9159dac322	FT_EMPLOYED	STANDARD_BANK	2	666490
086abd29-f9e3-4bfd-b7de-4a5795f5a4b8	FT_EMPLOYED	ABSA	2	27659
6d36aa63-e1c2-4a1e-bb7d-7c7acd8f9a36	SELF_EMPLOYED	ABSA	3	156642
bfcc1755-060b-49f0-8216-855b87182dc4	FT_EMPLOYED	NEDBANK	0	0
e272d78d-4964-4157-b9f3-95f11796c77e	FT_EMPLOYED	STANDARD_BANK	1	6736
861e51b8-41db-4b5c-ac7d-8f4d39b950b2	WORK_AT_HOME	ABSA	2	1150144
b80e7284-adcb-4442-93ed-66d2e9e74431	PT_EMPLOYED	STANDARD_BANK	0	0
db5217c0-a1c2-4b71-8080-106a2fbd2d44	FT_EMPLOYED	ABSA	1	3342
1bc25bc6-9a63-4ea7-ab83-fb764399da7b	FT_EMPLOYED	CAPITEC	0	0
73ff65a0-e0d0-444b-8246-2331b2d51d5d	FT_EMPLOYED	ABSA	1	12120
eccf71a6-40ac-4a4b-841b-67c4752f0696	FT_EMPLOYED	CAPITEC	0	0
ebec598b-00b5-4fad-87c8-092a5388b1c7	FT_EMPLOYED	NEDBANK	0	0
405e0215-a0db-4425-8f6c-2df5a0a003df	FT_EMPLOYED	ABSA	2	92562
4d14f02f-836e-4fad-9889-cf0eb67e7709	SELF_EMPLOYED	STANDARD_BANK	0	0
3dc87c55-fce3-4a36-b3fd-f96d79710cca	FT_EMPLOYED	NEDBANK	0	0
857fe2ba-2bc1-46cf-bb4d-2f51415e270d	FT_EMPLOYED	ABSA	0	0
336b9f63-aa33-4a4c-886e-3f7211ae9137	FT_EMPLOYED	CAPITEC	0	0
c989b2d7-56e2-4a8b-ad88-521885e4b6c8	FT_EMPLOYED	ABSA	2	20589
f6ec5d42-0879-4ff5-9cb0-936b76b35379	FT_EMPLOYED	CAPITEC	1	11461
1c609037-24c4-4d16-b0e6-db030039234d	FT_EMPLOYED	ABSA	1	365
d21f8721-a394-469d-beaa-a410a4a1874a	FT_EMPLOYED	FIRST_NATIONAL_BANK	0	0
f238cb0d-86a0-4749-b791-9a3dbc292980	STUDENT	NEDBANK	0	0
